,id,title,poster_path,backdrop_path
142,20941,Innocent Voices,/hvwB4LdMCLzqXsk5ZjR77vzPkGk.jpg,/89HE1VSdBDWBEro1wSpl2dFcfd9.jpg
143,133919,Scenes from a Marriage,/ArKEdvJesIktFX8OAhcdKAOLl6I.jpg,/2n1u392UAhtR4SvjCHC8BfLaamn.jpg
144,426,Vertigo,/15uOEfqBNTVtDUT7hGBVCka0rZz.jpg,/5zKeHHFYfuyH0KFR7h3IYnOHL7v.jpg
145,111,Scarface,/iQ5ztdjvteGeboxtmRdXEChJOHh.jpg,/sctvs9cUwJD15qlTlrsh2BXsK75.jpg
146,791373,Zack Snyder's Justice League,/tnAuB8q5vv7Ax9UAEje5Xi4BXik.jpg,/hjypZf7Juayon8emI6HNSyjbqWF.jpg
147,1422,The Departed,/nT97ifVT2J1yMQmeq20Qblg61T.jpg,/6WRrGYalXXveItfpnipYdayFkQB.jpg
148,1398,Stalker,/lUE0Bp7wH0EterJ44qMRsqtKFnp.jpg,/6yrbWzzrPp7pwz6zHdifspJk8t3.jpg
149,18148,Tokyo Story,/g2YbTYKpY7N2yDSk7BfXZ18I5QV.jpg,/jLq0ol1f0ZKXni9R9GsPBcyPrNN.jpg
150,475557,Joker,/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,/7oJ5wrbS9Zs9AoxTjNb1siJKVq6.jpg
151,872,Singin' in the Rain,/w03EiJVHP8Un77boQeE7hg9DVdU.jpg,/mxf8hJJkHTCqZP3m4o8E1TtwHHs.jpg
152,289,Casablanca,/5K7cOHoay2mZusSLezBOY0Qxh8a.jpg,/87wqeMeUeMRLjsE1IWNKJcPlpuC.jpg
153,422,8½,/tMWvzPsvpmlklcPVjVLpUWgZHua.jpg,/hiXMQiwpa0fqPJxWLSMWTbpiWn8.jpg
154,606856,Togo,/wX0QD36a80hxulcizz7tyahYOF8.jpg,/2Jr2OBzoLLOYqQWnyN4eicZv0sL.jpg
155,103,Taxi Driver,/ekstpH614fwDX8DUln1a2Opz0N8.jpg,/6aoyUbvu0419XLKLIMoH0TkEicH.jpg
156,517814,Capernaum,/mFnfTVADj8yOxwzprYOmTPselk8.jpg,/1p6cMqrxwLjTHmruMCWfpbTAxvt.jpg
157,398818,Call Me by Your Name,/mZ4gBdfkhP9tvLH1DO4m4HYtiyi.jpg,/zvOJawrnmgK0sL293mOXOdLvTXQ.jpg
158,399106,Piper,/rfEkkVzmrMYqGezNLl02mVyJCP2.jpg,/4GWYk5VP9qu1rNSeNAwNaBy9mwS.jpg
159,489,Good Will Hunting,/bABCBKYBK7A5G1x0FzoeoNfuj2.jpg,/bpV8wn48s82au37QyUJ51S7X2Vf.jpg
160,348,Alien,/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg,/hdHIjZxq3SWFqpAz4NFhdbud0iz.jpg
161,666,Central Station,/zJvp7XjQ2LhPbDVYhFXyucs40vR.jpg,/lrLIy9OFRQg4VkhrCyolfNXJEUH.jpg
162,762975,Purple Hearts,/4JyNWkryifWbWXJyxcWh3pVya6N.jpg,/iQlJyRecJeGGzQGT2rEcyAgz89F.jpg
163,81481,Silenced,/mbMp0oIFmYnw0i5gzRoKt8cH5ve.jpg,/e5MvOQIIouSgQcBHCMNA6Rsbwnd.jpg
164,531428,Portrait of a Lady on Fire,/2LquGwEhbg3soxSCs9VNyh5VJd9.jpg,/foFq1RZWQIgFuCQ0nyYccywjFyX.jpg
165,55823,The Great War,/aDvKsUb5y7GMNMz2HHNtuGww5t8.jpg,/fcH7FM74GoHgOUnKjpGAoKOxWvY.jpg
166,406997,Wonder,/sONh3LYGFcVDTy8pm1tbSOB13Li.jpg,/4rsrxYDfIzvtAsIE9wevxPRXAk4.jpg
167,37165,The Truman Show,/vuza0WqY239yBXOadKlGwJsZJFE.jpg,/aCHn2TXYJfzPXQKA6r9mKPbMlUB.jpg
168,19,Metropolis,/pxbGZewX327IbTvrCVRJgcLJTSQ.jpg,/r8pUcom5Mw8igtBpj3AHSAUvH0R.jpg
169,755812,"Miraculous World: New York, United HeroeZ",/9YbyvcrHmY2SVbdfXpb8mC4Fy0g.jpg,/2BZ7PC9aISswNXV2tugmjGiriaB.jpg
170,508442,Soul,/hm58Jw4Lw8OIeECIq5qyPYhAeRJ.jpg,/rQaHA74pevnGsxcKGaoZVGWe9TC.jpg
171,470044,The Hate U Give,/2icwBom0t5nmOuZI9FVXF3gkMK0.jpg,/kH8xW7K2Gp1KOXoeewcLPkfqZ8K.jpg
172,20914,My Friends,/8Pm8SLjq2UHCwisd56ipHtzvZI1.jpg,/bg4B52loVIYZTf3odGQKVV6B55h.jpg
173,600354,The Father,/pr3bEQ517uMb5loLvjFQi8uLAsp.jpg,/h3weAFgg06GqchI2xDfufBgSFTj.jpg
174,600,Full Metal Jacket,/kMKyx1k8hWWscYFnPbnxxN4Eqo4.jpg,/3k2TRmqMjgt7tcwkYwZQdctnty3.jpg
